"Review","Tokens"

"좋은데 접속할 수 없다고 떠요.컴퓨터로는 되는데 왜 이럴까요 답변 부탁드립니다.","좋/VA|은데/ECD|접속/NNG|하/XSV|ㄹ/ETD|수/NNB|없다/VA|고/ECE|뜨/VV|어요/EFN|./SF|컴퓨터/NNG|로/JKM|는/JX|되/VV|는데/ECD|왜/MAG|이러/VV|ㄹ까요/ECD|답변/NNG|부탁/NNG|드리/VV|ㅂ니다/EFN|./SF"

"잘 보고 있습니다 TV에는 볼수있는데 폰으로는 어풀을 지우고 다시 설치해도 화면이 안 뜨네요 진짜 오류 라서 안되는것 인가요.","잘/MAG|보/VV|고/ECE|있/VXV|습니다/EFN|TV/OL|에/JKM|는/JX|보/VV|ㄹ/ETD|수/NNB|있/VV|는데/ECD|스마트폰/NNG|으로/JKM|는/JX|앱/NNG|을/JKO|지우/VV|고/ECE|다시/MAG|설치/NNG|하/XSV|어도/ECD|화면/NNG|이/JKS|안/MAG|뜨/VV|네요/EFN|진짜/MAG|오류/NNG|라서/JKS|안/MAG|되/VV|는/ETD|것/NNB|이/VCP|ㄴ가요/EFQ|./SF"

"왜 앱이 안열리는거죠? 몇번 지웠다 깔았는데도 넷플릭스 화면에세 안넘어 갑니다. 빠른 해결부탁드립니다.","왜/MAG|앱/NNG|이/JKS|안/MAG|열/VV|는/ETD|것/NNB|이/VCP|죠/EFN|?/SF|몇/MDT|번/NNB|지우/VV|었/EPT|다/ECS|깔/VV|았/EPT|는데/ECD|도/JX|넷플릭스/NNG|화면/NNG|에/JKM|세/NNG|안/MAG|넘/VV|어/ECD|갈/VV|ㅂ니다/EFN|./SF|빠르/VA|ㄴ/ETD|해결/NNG|부탁/NNG|ㅂ니다/EFN|./SF"

"가끔씩 자막판 위주로 자막이 달려서 더빙판으로 보면 더빙판 대사의 자막이 아닌 자막판으로 된 자막을 그대로 쓰는 경우가 있는데 수정해 주세요. ","가끔/MAG|씩/MAG|자/VV|아/ECS|막판/NNG|위주/NNG|로/JKM|자막/NNG|이/JKS|달리/VV|어서/ECD|더빙/NNG|판/XSN|으로/JKM|보/VV|면/ECE|더빙/NNG|판/NNG|대사/NNG|의/JKG|자막/NNG|이/JKS|아니/VV|ㄴ/ETD|자막/NNG|판/XSN|으로/JKM|되/VV|ㄴ/ETD|자막/NNG|을/JKO|그대로/MAG|쓰/VV|는/ETD|경우/NNG|가/JKS|있/VV|는데/ECD|수정/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|./SF"

"오류 1009가 계속뜨고 실행안대용.","오류/NNG|1009/NR|가/JKS|계속/MAG|뜨/VV|고/ECE|실행/NNG|알/VV|ㄴ대요/EFN|./SF"

"오랫만에 앱 열려고하니 업댓하라나오면서 업데이트 불가능이라네요 참 내.","오랫만/NNG|에/JKM|앱/NNG|열/VV|려고/ECD|하/VX|니/ECD|업데이트/NNG|하라/NNP|나오/VV|면서/ECE|업데이트/NNG|불가능/NNG|이/VCP|라네요/EFN|참/MAG|내/NNG|./SF"

"화웨이패드사용중입니다 오류나서 영상시청이 안되요 1009 뜹니다.","화웨이/NNG|패드/NNG|사용/NNG|중/NNB|이/VCP|ㅂ니다/EFN|오류/NNG|나/NP|서/JKM|영상/NNG|시청/NNG|이/JKS|안/MAG|되/VV|어요/EFN|1009/NR|뜨/VV|ㅂ니다/EFN|./SF"

"볼건많은대 볼게없음.","보/VV|ㄹ/ETD|것/NNB|은/JKS|많/VA|은데/ECD|보/VV|ㄹ/ETD|것/NNB|이/JKS|없/VA|음/ETN|./SF"

"1009오류가 해결이안되네요 지우고 깔아도 안되고 디바이스 꺼뜨리고 다시켜도 안되고 원인 해결 방법좀.","1009/NR|오류/NNG|가/JKS|해결/NNG|이/JKS|안/MAG|되/VV|네요/EFN|지우/VV|고/ECE|깔/VV|아도/ECD|안/MAG|되/VV|고/ECE|디바이스/NNG|꺼뜨리/VV|고/ECE|다/NNG|시키/XSV|어도/ECD|안/MAG|되/VV|고/ECE|원인/NNG|해결/NNG|방법/NNG|좀/MAG|./SF"

"오류뜨는데.언제 고치시는거에요.?","오류/NNG|뜨/VV|는데/ECD|./SF|언제/MAG|고치/VV|시/EPH|는/ETD|거/NNB|에/JKM|요/JX|./SF|?/SF"

"다 좋은데 제가좋아하는 애니 무장소녀 마키아벨리즘이 없어서 좀 실망이었어요.","다/MAG|좋/VA|은데/ECD|저/NP|가/JKS|좋/VV|는/ETD|애니메이션/NNG|무장/NNG|소녀/NNG|마키아벨리즘/NNG|이/JKS|없/VA|어서/ECD|좀/MAG|실망/NNG|이/VCP|었/EPT|어요/EFN|./SF"

"다 좋은데 원하는 영화가 없을때 슬프네요. 영화별로 계약기간이 언제 끝나는지 모르고있다가 보려고 하는데 계약기간이 끝난줄도 모르는 경우가 많습니다. 영화별로 계약이 언제까지인지 적어주셨으면 좋겠어요.","다/MAG|좋/VA|은데/ECD|원하/VV|는/ETD|영화/NNG|가/JKS|없/VA|을/ETD|때/NNG|슬프/VA|네요/EFN|./SF|영화/NNG|별/NNG|로/JKM|계약/NNG|기간/NNG|이/JKS|언제/MAG|끝나/VV|는지/ECS|모르/VV|고/ECE|있/VXV|다가/ECD|보/VV|려고/ECD|하/VV|는데/ECD|계약/NNG|기간/NNG|이/JKS|끝나/VV|ㄴ/ETD|줄/NNB|도/JX|모르/VV|는/ETD|경우/NNG|가/JKS|많/VA|습니다/EFN|./SF|영화/NNG|별/NNG|로/JKM|계약/NNG|이/JKS|언제/NP|까지/JX|이/VCP|ㄴ지/ECD|적/VV|어/ECD|주/VXV|시/EPH|었/EPT|으면/ECD|좋/VA|겠/EPT|어요/EFN|./SF"

"제가 보고싶은건 고블린 슬레이어 인데 쳐도 안나오네요 한번더 보려고 하는데 이거 안되겠네 라프텔 앱이 더 좋으려나?","제가/NNG|보/VV|고/ECE|싶/VXA|은/ETD|것/NNB|은/JKS|고/NNG|블/VV|ㄹ/ETD|린/UN|슬/VV|ㄹ/ETD|레이어/NNG|이/VCP|ㄴ데/ECE|치/VV|어도/ECD|안/MAG|나오/VV|네요/EFN|한번/MAG|더/MAG|보/VV|려고/ECD|하/VV|는데/ECD|이거/NP|안/MAG|되/VV|겠/EPT|네/EFN|라프/NNG|텔/UN|앱/NNG|이/JKS|더/MAG|좋/VA|으려나/EFQ|?/SF"

"갤럭시 노트20 울트라 사용중인데 어플 접속도 3일째 안됨. 오류라고 뜨는데 언제 고칠련지.","갤럭시/NNG|노트/NNG|20/NR|울트라/NNG|사용/NNG|중/NNB|이/VCP|ㄴ데/ECE|앱/NNG|접속/NNG|도/JX|3/NR|일/NNG|째/XSN|안/MAG|되/VV|./SF|오류/NNG|라고/JX|뜨/VV|는데/ECD|언제/MAG|고치/VV|ㄹ/ETD|련지/UN|./SF"

"자막 사운드 모두 최상.","자막/NNG|사운드/NNG|모두/MAG|최상/NNG|./SF"

"계속 로그인전 오류 메세지 나옴 스마트폰에서 이용 안됨.","계속/NNG|로그인/NNG|전/NNG|오류/NNG|메세지/NNG|나오/VV|ㅁ/ETN|스마트/NNP|스마트폰/NNG|에서/JKM|이용/NNG|안/MAG|되/VV|./SF"

"PC와 다른 모바빌 폰에서는 접속이 되는데 제 스마트폰에서는 접속이 안됩니다 1009라고 하면서요 해별방법알려주세요. ","PC/OL|오/VV|아/ECS|다른/MDT|모/NNG|바/NNG|빌/VV|ㄹ/ETD|스마트폰/NNG|에서/JKM|는/JX|접속/NNG|이/JKC|되/VV|는데/ECD|저/NP|의/JKG|스마트/NNP|스마트폰/NNG|에서/JKM|는/JX|접속/NNG|이/JKS|안/MAG|되/VV|ㅂ니다/EFN|1009/NR|라고/JX|하/VV|면서요/ECE|하/VV|어/ECS|별/NNG|방법/NNG|알/VV|려/ECD|주/VXV|세요/EFN|./SF"

"로그인이않돼요 잘돼다가않도거는데 어떻게좀 해 주세요.  별점한개도 아깝네요.","로그인/NNG|이/JKS|안/MAG|되/VV|어요/EFN|잘/MAG|되/VV|어/ECS|다그/VV|아/ECS|않도/UN|걸/VV|는데/ECD|어떻/VA|게/ECD|좀/MAG|하/VV|어/ECS|주/VXV|세요/EFN|./SF|별점/NNG|하/XSV|ㄴ/ETD|개/NNG|도/JX|아깝/VA|네요/EFN|./SF"

"제발 세로 작은화면 으로 볼수있게 해 주세요.  전체화면 꽉차서 눈아프고 보기 너무 불편하네요.","제발/MAG|세로/NNG|작/VA|은/ETD|화면/NNG|으로/JKM|보/VV|ㄹ/ETD|수/NNB|있/VV|게/ECD|하/VV|어/ECS|주/VXV|세요/EFN|./SF|전체/NNG|화/XSN|이/VCP|면/ECE|꽉/MAG|차/VV|아서/ECD|눈/NNG|아프/VA|고/ECE|보기/NNG|너무/MAG|불편/NNG|하/XSV|네요/EFN|./SF"

"먼 들어가자마자 구입하라고 뜨냐 ? 내가 보고싶은거 잇나 들어갓는데 거참 보고싶은거잇음 결제 하려고햇는데 가입하자마자 결제 라니 . .","멀/VA|ㄴ/ETD|들어가/VV|자마자/ECE|구/XPN|입하/NNG|라고/JX|뜨/VV|냐/EFQ|?/SF|내/NP|가/JKS|보/VV|고/ECE|싶/VXA|은/ETD|거/NNB|있/VV|나/EFQ|듣/VV|어/ECD|갓/MAG|늘/VV|ㄴ/ETD|데/NNB|그/VV|어/ECS|참/MAG|보/VV|고/ECE|싶/VXA|은/ETD|거/NNB|있/VV|음/ETN|결제/NNG|하/VV|려고/ECD|하/VV|였/EPT|는데/ECD|가입/NNG|하/XSV|자마자/ECE|결제/NNG|라니/NNP|./SF|./SF"

"태블릿으로 화웨이제품 몇년을 이용하고 있던 넷플릭스구독자입니다 그런데 갑자기 21일부터 접속오류가 뜨더니 오류코드1009 접속이 안되고 있어서 고객센터로 전화를했습니다 총3번전화 전화하는동안 첫번째 두번째 통화중 전부메모하고 다음번통화시 재설명 없이 불편함없을거라더니 전화할때마다 똑같은질문 똑같은 해결방안을 이야기하고 묻더군요 그럴꺼면 처음에 왜 고객 개인정보를 물어보는지 이해가 가지않고 정말불편했습니다 그리고 총4시간여동안 여러 방법들과 통화끝에 넷플릭스에서 나온 답변이 제가쓰는 기종을 넷플릭스에서 지원하지 않는다는 황당한 말이였습니다 4년전구매한 제품이고 2G도 아니고 그저께만해도 잘만 이용했는데 이게 지금 돈을주고 보는입장에서 말도 안되고 그럼제가 돈주고 보는데 태블릿을 바꿔야하나요? 그제까지되던게 안되면 넷플릭스에서 갑자기 안되게 했다는건데 오래된 태블릿은 이제 영상보지말란것처럼 들렸고 저보고 다를 기기로 보라더군요 참 없는 대기업이네요 좋은기기없음 구독마세요.","태블릿/NNG|으로/JKM|화웨이/NNG|제품/NNG|몇/MDT|년/NNB|을/JKO|이용/NNG|하/XSV|고/ECE|있/VXV|더/EPT|ㄴ/ETD|넷플릭스/NNG|구독자/NNG|이/VCP|ㅂ니다/EFN|그런데/MAC|갑자기/MAG|21/NR|일/NNM|부터/JX|접속/NNG|오류/NNG|가/JKS|뜨/VV|더니/ECD|오류/NNG|코드/NNG|1009/NR|접/NNM|속이/NNG|안/MAG|되/XSV|고/ECE|있/VXV|어서/ECD|고객/NNG|센터/NNG|로/JKM|전화/NNG|를/JKO|하/VV|었/EPT|습니다/EFN|총/NNG|3/NR|번/NNM|전화/NNG|전화/NNG|하/XSV|는/ETD|동안/NNG|첫/MDT|번째/NNB|두/MDN|번째/NNB|통화/NNG|중/NNB|전부/NNG|메모/NNG|하/XSV|고/ECE|다음번/NNG|통화/NNG|시/XSN|재/XPN|설명/NNG|없이/MAG|불편/NNG|하/XSV|ㅁ/ETN|없/VA|을/ETD|거/NNB|라더/NNG|니/JC|전화/NNG|하/XSV|ㄹ/ETD|때/NNG|마다/JX|똑같/VA|은/ETD|질문/NNG|똑같/VA|은/ETD|해결/NNG|방안/NNG|을/JKO|이야기/NNG|하/XSV|고/ECE|묻/VV|더군요/EFI|그러/VV|ㄹ/ETD|꺼/NNG|이/VCP|면/ECE|처음/NNG|에/JKM|왜/MAG|고객/NNG|개인/NNG|정보/NNG|를/JKO|물어보/VV|는지/ECS|이해/NNG|가/JKS|가/VV|지/ECD|안/MAG|고/ECE|정말/MAG|불편/NNG|하/XSV|었/EPT|습니다/EFN|그리고/MAC|총/NNG|4/NR|시간/NNG|여/NNG|동안/NNG|여러/MDT|방법/NNG|들/XSN|과/JKO|통화/NNG|끝/NNG|에/JKM|넷플릭스/NNG|에서/JKM|나오/VV|ㄴ/ETD|답변/NNG|이/JKS|제가/NNG|쓰/VV|는/ETD|기종/NNG|을/JKO|넷플릭스/NNG|에서/JKM|지원/NNG|하/XSV|지/ECD|안/MAG|는다는/ETD|황/NNG|당하/XSV|ㄴ/ETD|말/NNG|이/VCP|였/EPT|습니다/EFN|4/NR|년/NNM|전/NNG|구매/NNG|하/XSV|ㄴ/ETD|제품/NNG|이/VCP|고/ECE|2/NR|G/OL|도/JX|아니/VV|고/ECE|그저께/NNG|만/JX|하/VV|어도/ECD|잘만/NNP|이용/NNG|하/XSV|었/EPT|는데/ECD|이것/NP|이/JKS|지금/MAG|돈/NNG|을/JKO|주/VV|고/ECE|보/VV|는/ETD|입장/NNG|에서/JKM|말/NNG|도/JX|안/MAG|되/VV|고/ECE|그럼/MAG|저/NP|가/JKS|돈/NNG|주/VV|고/ECE|보/VV|는데/ECD|태블릿/NNG|을/JKO|바꾸/VV|어야/ECD|하/VV|나요/EFQ|?/SF|그제/NNG|까지/JX|되/VV|더/EPT|ㄴ/ETD|것/NNB|이/JKS|안/MAG|되/VV|면/ECE|넷플릭스/NNG|에서/JKM|갑자기/MAG|안/MAG|되/VV|게/ECD|하/VV|었/EPT|다는/ETD|것/NNB|이/VCP|ㄴ데/ECD|오래되/VV|ㄴ/ETD|태블릿/NNG|은/JX|이제/NNG|영상/NNG|보/VV|지/ECD|말/VXV|란/ETD|것/NNB|처럼/JKM|듣/VV|었/EPT|고/ECE|저/NP|보고/JKM|다르/VV|ㄹ/ETD|기/VV|기로/ECD|보라/NNG|이/VCP|더군요/EFN|참/MAG|없/VA|는/ETD|대기업/NNG|이/VCP|네요/EFN|좋/VA|은/ETD|기기/NNG|없/VA|음/ETN|구독/NNG|마/VV|세요/EFN|./SF"

"뭔가 많은데 볼게 적다.","뭔/MDT|가/NNG|많/VA|은데/ECD|보/VV|ㄹ/ETD|것/NNB|이/JKS|적/VA|다/EFN|./SF"

"모바일 접속이 안되요. 현기증 나요 빨리 해결해 주세요. ","스마트폰/NNG|접속/NNG|이/JKS|안/MAG|되/VV|어요/EFN|./SF|현기/NNG|증/NNG|나/NP|요/JX|빨리/MAG|해결/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|./SF"

"접속안됨 이거 어쩔겨 접속할수없다고 함.","접속/NNG|안/MAG|되/VV|이거/NP|어쩌/VV|ㄹ/ETD|기/VV|어/ECS|접속/NNG|하/XSV|ㄹ/ETD|수/NNB|없다/VA|고/ECE|하/VV|ㅁ/ETN|./SF"

"갑자기 첫화면에서 접속이 안되니 나중에 다시 시도하라며 넘어가질 않아 앱 삭제후 다시 깔아도 계속 그러네요?왜 이러죠?","갑자기/MAG|첫/MDT|화면/NNG|에서/JKM|접속/NNG|이/JKS|안/MAG|되/VV|니/ECD|나중/NNG|에/JKM|다시/MAG|시도/NNG|하/XSV|라며/ECE|넘/VV|지/ECS|를/JX|안/MAG|아/ECD|앱/NNG|삭제/NNG|후/NNG|다시/MAG|깔/VV|아도/ECD|계속/MAG|그러/VV|네요/EFN|?/SF|왜/MAG|이러/VV|죠/EFN|?/SF"

"자막이 있는걸 보는데 처음에 자막이랑 관람등급안내가 겹쳐서 자막을 읽을수가 없네요. 처음내용은 버리고 보라는 건가요?","자막/NNG|이/JKS|있/VV|는/ETD|것/NNB|을/JKO|보/VV|는데/ECD|처음/NNG|에/JKM|자막/NNG|이랑/NNG|관람/NNG|등/NNB|급/NNG|안내/NNG|가/JKS|겹치/VV|어서/ECD|자막/NNG|을/JKO|읽/VV|을/ETD|수/NNB|가/JKS|없/VA|네요/EFN|./SF|처음/NNG|내용/NNG|은/JX|버리/VV|고/ECE|보/VV|라는/ETD|것/NNB|이/VCP|ㄴ가요/EFQ|?/SF"

"요금은 올려 받으면서 되던거 안되게 하는 경우는 뭔지. 1009 뜨면서 잘되는거 안되는 상황은 머지?","요금/NNG|은/JX|오르/VV|어/ECS|받/VV|으면서/ECE|되/VV|더/EPT|ㄴ/ETD|거/NNB|안/MAG|되/VV|게/ECD|하/VV|는/ETD|경우/NNG|는/JX|무엇/NNG|이/VCP|ㄴ지/ECD|./SF|1009/NR|뜨/VV|면서/ECE|잘/MAG|되/VV|는/ETD|거/NNB|안/MAG|되/VV|는/ETD|상황/NNG|은/JX|머지/NNG|?/SF"

"오류 걸려서 안들어가지네요 빨리 고쳐 주세요. ","오류/NNG|걸리/VV|어서/ECD|안/MAG|듣/VV|어/ECD|가지/VXV|네요/EFN|빨리/MAG|고치/VV|어/ECS|주/VXV|세요/EFN|./SF"

"많은 시리즈가 있어서 좋은데 애니 화가 1나 없더라고요 레이디버그 시즌2 1화가 사라졌어요 생각나서 들어가봤는데 시즌2 회차가 만맞아서 찾아보니 시즌2 1화 산타의 복수던데 확인좀 해 주세요. ","많/VA|은/ETD|시리즈/NNG|가/JKS|있/VV|어서/ECD|좋/VA|은데/ECD|애니메이션/NNG|화가/NNG|1/NR|나/JX|없/VA|더/EPT|라/ECD|고요/NNG|레이디/NNG|버그/NNG|시즌/NNG|2/NR|1/NR|화가/NNG|사라지/VV|었/EPT|어요/EFN|생각/NNG|나/NP|서/JKM|듣/VV|어/ECD|가보/VV|았/EPT|는데/ECD|시즌/NNG|2/NR|회/NNB|차가/NNG|만/NNB|맞/VV|아서/ECD|찾/VV|니/ECD|시즌/NNG|2/NR|1/NR|화/NNM|산타/NNG|의/JKG|복수/NNG|덜/VV|ㄴ/ETD|데/NNB|확인/NNG|좀/MAG|하/VV|어/ECS|주/VXV|세요/EFN|./SF"

"스트레스 해소.","스트레스/NNG|해소/NNG|./SF"

"재미있고 좋아요.","재미/NNG|있/VV|고/ECE|좋/VA|아요/EFN|./SF"

"믿고 쓰는 넷플릭스.","믿/VV|고/ECE|쓰/VV|는/ETD|넷플릭스/NNG|./SF"

"펜트하우는 안나오나요? 너무 아쉬워요.","펜트하우/UN|는/JX|안/MAG|나오/VV|나요/EFQ|?/SF|너무/MAG|아쉽/VA|어요/EFN|./SF"

"1점 주기도 싫다 0점은 없나.","1/NR|점/NNM|주기/NNG|도/JX|싫/VA|다/ECS|0/NR|점/NNM|은/JX|없/VA|나/EFQ|./SF"

"갤럭시 노트10 사용자입니다 안드로이드12. ONE UI 4.0 업데이트이후 넷플릭스 영상 재생시 소리만나오고 화면이 안나옵니다 빠른시일네에 해결되길 바랍니다.","갤럭시/NNG|노트/NNG|10/NR|사용자/NNG|이/VCP|ㅂ니다/EFN|안드로이드/NNG|12/NR|./SF|ONE/OL|UI/OL|4.0/NR|업데이트/NNG|이후/NNG|넷플릭스/NNG|영상/NNG|재생/NNG|시/NNG|소리/NNG|만/JX|나오/VV|고/ECE|화면/NNG|이/JKS|안/MAG|나오/VV|ㅂ니다/EFN|빠르/VA|ㄴ/ETD|시일/NNG|네/XSN|에/JKM|해결/NNG|되/XSV|기/ETN|를/JKO|바라/VV|ㅂ니다/EFN|./SF"

"왓차가 짱이다.","왓차/NNG|가/JKS|짱/NNG|이/VCP|다/EFN|./SF"

"다른 인터넷에는 넷플에 어쩌다 발견한 하루 의사 요한 등등 있다고 하는데 왜 안뜨는거죠.","다르/VA|ㄴ/ETD|인터넷/NNG|에/JKM|는/JX|넷플릭스/NNG|에/JKM|어쩌다/MAG|발견/NNG|하/XSV|ㄴ/ETD|하루/NNG|의사/NNG|요/NNG|하/XSV|ㄴ/ETD|등등/NNB|있/VV|다고/EFN|하/VV|는데/ECD|왜/MAG|안/MAG|뜨/VV|는/ETD|것/NNB|이/VCP|죠/EFN|./SF"

"남녀 노소 연령대 별 잘 활용하고있어요.","남녀/NNG|노소/NNG|연령/NNG|대/NNG|별/NNG|잘/MAG|활용/NNG|하/XSV|고/ECE|있/VXV|어요/EFN|./SF"

"너무 좋아요.","너무/MAG|좋/VA|아요/EFN|./SF"

"잘 사용하고 있습니다.","잘/MAG|사용/NNG|하/XSV|고/ECE|있/VXV|습니다/EFN|./SF"

"진짜 앱 개판이네.","진짜/NNG|앱/NNG|개판/NNG|이/VCP|네/EFN|./SF"

"윈하는 영화 화질 또한 좋은편.","윈/UN|하/XSV|는/ETD|영화/NNG|화질/NNG|또한/MAG|좋/VA|은/ETD|편/NNB|./SF"

"왓차 쓰다가 넘어왔는데 종류 엄청 다양해서 보고 싶은거 없었던 적이 없고 한국 드라마 엄청 다양하게 거의 다 있어서 좋음.","왓차/NNG|쓰/VV|다가/ECD|넘어오/VV|았/EPT|는데/ECD|종류/NNG|엄청/MAG|다양/NNG|하/XSV|어서/ECD|보/VV|고/ECE|싶/VXA|은/ETD|거/NNB|없/VA|었/EPT|더/EPT|ㄴ/ETD|적이/MAG|없/VA|고/ECE|한국/NNG|드라마/NNG|엄청/MAG|다양/NNG|하/XSV|게/ECD|거의/MAG|다/MAG|있/VV|어서/ECD|좋/VA|음/ETN|./SF"

"찿는거 많이.","찾/VV|는/ETD|거/NNB|많이/MAG|./SF"

"이제 재탕에 삼탕에 이제 넷플버릴때가 된건가.","이제/MAG|재탕/NNG|에/JKM|삼/NR|탕/NNM|에/JKM|이제/NNG|넷플릭스/NNG|버리/VV|ㄹ/ETD|때/NNG|가/JKC|되/VV|ㄴ/ETD|것/NNB|이/VCP|ㄴ가/EFQ|./SF"

"가격 인상 그만하면 좋게 에여.","가격/NNG|인상/NNG|그만/MAG|하/VV|면/ECE|좋/VA|게/ECD|에이/VV|어/ECS|./SF"

"의사 요한 이라는 한 드라마가 있는데 그것 좀 넣어주시면 정말 진짜 감사드리겠습니다 해주시면 별5개랑 홍보가능.","의사/NNG|요/NNG|하/XSV|ㄴ/ETD|이/NNG|이/VCP|라는/ETD|한/NNG|드라마/NNG|가/JKS|있/VV|는데/ECD|그것/NP|좀/MAG|넣/VV|어/ECD|주/VXV|시/EPH|면/ECE|정말/MAG|진짜/NNG|감사/NNG|드리/VV|겠/EPT|습니다/EFN|하/VV|어/ECS|주/VXV|시/EPH|면/ECE|별/NNG|5/NR|개/NNM|랑/JC|홍보/NNG|가능/NNG|./SF"

"전 재미있음. 즐기고 있습니다.","전/NNG|재미/NNG|있음/NNG|./SF|즐기/VV|고/ECE|있/VXV|습니다/EFN|./SF"

"모든 더 좋은데 마계헉교 이루마군 2기가 나오면 좋겠네요. 그래도 재밌어요. 제발 이루마군 2기 좀 해주세요. ","모든/NNP|더/MAG|좋/VA|은데/ECD|마계/NNG|헉/MAG|교/NNG|이루/NNG|마군/NNG|2/NR|기가/NNG|나오/VV|면/ECE|좋/VA|겠/EPT|네요/EFN|./SF|그리하/VV|여도/ECD|재미/NNG|있/VV|어요/EFN|./SF|제발/MAG|이루/NNG|마군/NNG|2/NR|기/NNG|좀/MAG|하/VV|어/ECS|주/VXV|세요/EFN|./SF"

"좋아요 너무 많이 보는게 흠이지만 많은 명작을 볼 수 있기에 행복합니다.","좋/VA|아요/EFN|너무/MAG|많이/MAG|보/VV|는/ETD|것/NNB|이/JKS|흠/NNG|이/VCP|지만/ECE|많/VA|은/ETD|명작/NNG|을/JKO|보/VV|ㄹ/ETD|수/NNB|있/VV|기에/ECD|행복/NNG|하/XSV|ㅂ니다/EFN|./SF"

"아주좋음. 다만. 스마트폰에 따라서 넷플릭스앱 설치 안되는 문제해결바랍니다.","아주/MAG|좋/VA|음/ETN|./SF|다만/MAG|./SF|스마트/NNP|스마트폰/NNG|에/JKM|따르/VV|아서/ECD|넷플릭스/NNG|앱/NNG|설치/NNG|안/MAG|되/XSV|는/ETD|문제/NNG|해결/NNG|바라/VV|ㅂ니다/EFN|./SF"

"제가 실수로 안보는걸 알림받기를 했는지 지우려고 해도 지울 수가 없어 아쉬운 점이 있네요.","제가/NNG|실수/NNG|로/JKM|안보/NNG|는/JX|걸/VV|ㄹ/ETD|알림/NNG|받/VV|기/ETN|를/JKO|하/VV|었/EPT|는지/ECS|지우/VV|려고/ECD|하/VV|어도/ECD|지우/VV|ㄹ/ETD|수/NNB|가/JKS|없/VA|어/ECD|아쉽/VA|ㄴ/ETD|점/NNG|이/JKS|있/VV|네요/EFN|./SF"

"왓차에 비해 화질이 너무 떨어져요.","왓차/NNG|에/JKM|비하/VV|어/ECS|화질/NNG|이/JKS|너무/MAG|떨어지/VV|어요/EFN|./SF"

"휴대폰이 이상한건지 어플이 이상한건지 휴대폰으로 영상볼때마다 화질이 지지직거리면서 느리게 나와요 이렇게 나오고 터치한번 누르면 풀리고 계속반복.","스마트폰/NNG|이/JKS|이상/NNG|하/XSV|ㄴ/ETD|것/NNB|이/VCP|ㄴ지/ECS|앱/NNG|이/JKS|이상/NNG|하/XSV|ㄴ/ETD|것/NNB|이/VCP|ㄴ지/ECS|스마트폰/NNG|으로/JKM|영상/NNG|보/VV|ㄹ/ETD|때/NNG|마다/JX|화질이/UN|지/ECS|지직거리/VV|면서/ECE|느리/VA|게/ECD|나오/VV|아요/EFN|이렇게/MAG|나오/VV|고/ECE|터치/NNG|한번/MAG|누르/VV|면/ECE|풀리/VV|고/ECE|계속/MAG|반복/NNG|./SF"

"다 괜찮은데 어느 순간부터 영상을 시청하면서 뮌가 이상해 졌어요 뭐가 바뀌었나요?","다/MAG|괜찮/VA|은데/ECD|어느/MDT|순간/NNG|부터/JX|영상/NNG|을/JKO|시청/NNG|하/XSV|면서/ECE|뮌/UN|가/NNG|이상/NNG|하/XSV|어/ECS|지/VXV|었/EPT|어요/EFN|뭐/NP|가/JKS|바꾸/VV|었/EPT|나요/EFQ|?/SF"

"전생했더니 슬라임이었던 건에 대하여 에서 왜 1기가 사라진건가요? 왜 그렇죠? 왜 사라진거죠?","전생/NNG|하/XSV|었/EPT|더니/ECD|스/VV|ㄹ라/ECD|임/NNG|이/VCP|었/EPT|더/EPT|ㄴ/ETD|건/NNG|에/JKM|대하여/UN|에서/JKM|왜/MAG|1/NR|기/NNG|가/JKS|사라지/VV|ㄴ/ETD|것/NNB|이/VCP|ㄴ가요/EFQ|?/SF|왜/MAG|그렇/VA|죠/EFN|?/SF|왜/MAG|사라지/VV|ㄴ/ETD|것/NNB|이/VCP|죠/EFN|?/SF"

"고객 댓 꾸도 없고. 돈만 처벌고.에라이. 화면잠금버튼 다시풀려면 터치도 안되고. 어쩌자는겨.","고객/NNG|댓/NR|꾸도/UN|없/VA|고/ECE|./SF|돈만/NNG|처벌/NNG|고/XSN|./SF|에/JKM|라이/NNG|./SF|화면/NNG|잠금/NNG|버튼/NNG|다시/MAG|풀/VV|려면/ECE|터치/NNG|도/JX|안/MAG|되/VV|고/ECE|./SF|어쩌/VV|자/ECE|는/JX|기/VV|어/ECS|./SF"

