"이런 예능재미있음.","이런/MDT|예능/NNG|재미/NNG|있음/NNG|./SF" 
"니네 영화 검수는 하냐. 무슨 불법영화처럼 화면 다 깨지고 소리안나고 빨리감기마냥 넘어가냐.","니/NP|네/MDN|영화/NNG|검수/NNG|는/JX|하/VV|냐/EFQ|./SF|무슨/MDT|불법/NNG|영화/NNG|처럼/JKM|화면/NNG|다/MAG|깨지/VV|고/ECE|소리/NNG|안/MAG|나/VV|고/ECE|빨리/MAG|감기/NNG|마냥/MAG|넘/VV|냐/EFQ|./SF"
"접속이 안되서 몇번을 다시 지우고 설치하는지 모르겠네요. 아직 디즈니플러스를 사용할 때는 아닌거 같습니다.","접속/NNG|이/JKS|안/MAG|되/VV|어/ECS|스/VV|어/ECS|몇/MDT|번/NNB|을/JKO|다시/MAG|지우/VV|고/ECE|설치/NNG|하/XSV|는지/ECS|모르/VV|겠/EPT|네요/EFN|./SF|아직/MAG|디즈니플러스/NNG|를/JKO|사용/NNG|하/XSV|ㄹ/ETD|때/NNG|는/JX|아니/VCN|ㄴ/ETD|거/NNB|같/VA|습니다/EFN|./SF"
"한국시장을 전혀 고려안함.","한국/NNG|시장/NNG|을/JKO|전혀/MAG|고려/NNP|안/MAG|하/XSV|ㅁ/ETN|./SF"
"세 개로 수정합니다. 점점 개선되어 가는 모습이 보이네요.","세/MDN|개로/NNG|수정/NNG|하/XSV|ㅂ니다/EFN|./SF|점점/MAG|개선/NNG|되/XSV|어/ECD|갈/VV|는/ETD|모습/NNG|이/JKS|보/VV|네요/EFN|./SF"
"좋긴좋은데 영화업로드하려면 좀 오래걸려서 넷플릭스보단 볼수있는게 많지만 업로드가 길어서 좀.그렇네요.","좋/VA|기/ETN|는/JKS|좋/VA|은데/ECD|영화/NNG|업로드/NNG|하/XSV|려면/ECE|좀/MAG|오래/MAG|걸리/VV|어서/ECD|넷플릭스/NNG|보다/JKM|ㄴ/JX|보/VV|ㄹ/ETD|수/NNB|있/VV|는/ETD|것/NNB|이/JKS|많/VA|지만/ECE|업로드/NNG|가/JKS|긷/VV|어서/ECD|좀/MAG|./SF|그렇/VV|네요/EFN|./SF"
"역사왜곡 드라마 설강화 불매합니다.","역사/NNG|왜곡/NNG|드라마/NNG|설/NNG|강화/NNG|불매/NNG|하/XSV|ㅂ니다/EFN|./SF"
"엊그제 언니네가 1년치 구독한다는걸 자막 구리다는 후문을 듣고 내가 말렸다 응 내 선견지명 칭찬해 설강화 제작지원인지 서비스제공인지 그게 문제가 아니라 이런 항의에도 반응하나 않는게 더 문제란걸 본인들만 모를듯.","엊그제/NNG|언니/NNG|네/XSN|가/JKS|1/NR|년/NNM|하/XSA|지/ECD|구독/NNG|하/XSV|ㄴ다는/ETD|것/NNB|을/JKO|자막/NNG|구리/NNG|달/VV|는/ETD|후문/NNG|을/JKO|듣/VV|고/ECE|내가/NNG|말리/VV|었/EPT|다/ECS|응/UN|내/NNB|선견/NNG|지명/NNG|칭찬/NNG|하/XSV|어/ECS|설/NNG|강화/NNG|제작/NNG|지원/NNG|이/VCP|ㄴ지/ECD|서비스/NNG|제공/NNG|이/VCP|ㄴ지/ECD|그/VV|게/ECD|문제/NNG|가/JKC|아니/VCN|라/ECD|이렇/VA|ㄴ/ETD|항의/NNG|에/JKM|도/JX|반응/NNG|하/XSV|나/ECE|안/MAG|는/ETD|것/NNB|이/JKS|더/MAG|문제/NNG|이/VCP|란/ETD|것/NNB|을/JKO|본/NNG|인들/JX|만/JX|모르/VV|ㄹ/ETD|듯/NNB|./SF"
"역사왜곡 드라마 방영을 이어가는 디즈니플러스 불매합니다.","역사/NNG|왜곡/NNG|드라마/NNG|방영/NNG|을/JKO|있/VV|어/ECD|갈/VV|는/ETD|디즈니플러스/NNG|불매/NNG|하/XSV|ㅂ니다/EFN|./SF"
"설강화 때문에 삭제합니다.","설/NNG|강화/NNG|때문/NNB|에/JKM|삭제/NNG|하/XSV|ㅂ니다/EFN|./SF"
"몇주보다가 검은화면 뜨면서 싱행이안되어서 못보고있음 대체뭐임?","몇/MDT|주/NNG|보/VV|다가/ECD|검/VA|은/ETD|화면/NNG|뜨/VV|면서/ECE|싱행이안되어/UN|서/JKM|못/MAG|보/VV|고/ECE|있음/NNG|대체/NNG|뭐/NP|임/NNG|?/SF"
"역사왜곡 드라마 설강화 서비스하는 디즈니플러스 불매합니다.","역사/NNG|왜곡/NNG|드라마/NNG|설/NNG|강화/NNG|서비스/NNG|하/XSV|는/ETD|디즈니플러스/NNG|불매/NNG|하/XSV|ㅂ니다/EFN|./SF"
"역사왜곡드라마 설강화 보기싫어요.","역사/NNG|왜곡/NNG|드라마/NNG|설/NNG|강화/NNG|보/VV|기/ETN|싫/VA|어요/EFN|./SF"
"음. 저는 그냥 타사 서비스가 더 맞는것같네요 게다가 논란의 드라마 런칭이라니. 너무 실망스러워요.","음/IC|./SF|저/NP|는/JX|그냥/MAG|타사/NNG|서비스/NNG|가/JKS|더/MAG|맞/VV|는/ETD|것/NNB|같/VA|네요/EFN|게다가/MAG|논란/NNG|의/JKG|드라마/NNG|런/NNG|칭/NNM|이/VCP|라니/EFQ|./SF|너무/MAG|실망/NNG|스럽/XSA|어요/EFN|./SF"
"DELETE DRAMA SNOWDROP 설강화 삭제 안하면 이대로 해지하고 다시는 안씀.","DELETE/OL|DRAMA/OL|SNOWDROP/OL|설/NNG|강화/NNG|삭제/NNG|안/MAG|하/XSV|면/ECE|이대/NNG|로/JKM|해지/NNG|하/XSV|고/ECE|다시/MAG|는/JX|안/MAG|쓰/VV|ㅁ/ETN|./SF"
"역사왜곡 드라마 설강화 방영의 디즈니.","역사/NNG|왜곡/NNG|드라마/NNG|설/NNG|강화/NNG|방영/NNG|의/JKG|디즈니/NNG|./SF"
"이런 개 같은 앱은 첨 봄 앱 똑바로 못 만들면 걍 무료로 풀어라.","이런/MDT|개/NNM|같/VA|은/ETD|앱/NNG|은/JX|첨/NNG|봄/NNG|앱/NNG|똑바로/MAG|못/MAG|만들/VV|면/ECE|걍/MAG|무료/NNG|로/JKM|풀/VV|어라/EFO|./SF"
"너무너무 잘보고있어요 나쁜 의견보지말고 좋은 글만 보세요 정말 재미있네요 애들이 너무 좋아해서 시간날때 마다 보고있어요.","너무너무/MAG|잘/MAG|보/VV|고/ECE|있/VXV|어요/EFN|나쁘/VA|ㄴ/ETD|의견/NNG|보/VV|지/ECD|말/VXV|고/ECE|좋/VA|은/ETD|글/NNG|만/JX|보세/NNG|요/JX|정말/MAG|재미/NNG|있/VV|네요/EFN|애/NNG|들/XSN|이/JKS|너무/MAG|좋/VV|어서/ECD|시간/NNG|낳/VV|ㄹ/ETD|때/NNG|마/VV|다/ECS|보/VV|고/ECE|있/VXV|어요/EFN|./SF"
"스파이더맨 TAS좀 올려쥐.","스파이/NNG|더/MAG|맨/MDT|TAS/OL|좀/MAG|오르/VV|어/ECS|쥐/NNG|./SF"
"해지가 잘안됨.넷플은 바로 해지되는데 디플은 그달다봐야함.","해지/NNG|가/JKS|잘/MAG|안/MAG|되/VV|./SF|넷플릭스/NNG|은/JX|바로/MAG|해지/NNG|되/XSV|는데/ECD|디즈니플러스/NNG|은/JX|그달/NNG|다/MAG|보/VV|아야/ECD|하/VV|ㅁ/ETN|./SF"
"디즈니와 마블영화만 보기에 컨텐츠사용료가 저렴하지도 않고 미드보는데 자막이 전편내용이 나오는 경우가 있음. 그것도 한글자막만 이렇게 나옴. 영어자막은 내용에 맞게 나옴. 심지어 일주일넘게 계속 유지중인 상태임.","디즈니/NNG|와/JKM|마블/NNG|영화/NNG|만/JX|보기/NNG|에/JKM|컨텐츠/NNG|사용료/NNG|가/JKS|저렴/XR|하/XSA|지/ECD|도/JX|안/MAG|고/ECE|미/NNG|드/XPN|보/NNG|는/JX|데/MAG|자막/NNG|이/JKS|전편/NNG|내용/NNG|이/JKS|나오/VV|는/ETD|경우/NNG|가/JKS|있음/NNG|./SF|그것/NP|도/JX|한글/NNG|자막/NNG|만/JX|이렇/VA|게/ECD|나오/VV|ㅁ/ETN|./SF|영어/NNG|자막/NNG|은/JX|내용/NNG|에/JKM|맞/VV|게/ECD|나오/VV|ㅁ/ETN|./SF|심지어/MAG|일주일/NNG|넘/VV|게/ECD|계속/MAG|유지/NNG|중인/NNG|상태/NNG|임/NNG|./SF"
"설강화라니 웬말인지 에니메이션이나 만들던지 남의 역사도 모르면서 아무꺼나 다 업로드하나요?","설/NNG|강화/NNG|라니/NNP|웨/VV|ㄴ/ETD|말/NNG|이/VCP|ㄴ지/ECD|에/VV|니/ECD|메이/NNG|션/UN|이나/JX|만들/VV|던지/ECD|남/NNG|의/JKG|역사/NNG|도/JX|모르/VV|면서/ECE|아무/MDT|꺼/NNG|나/JX|다/MAG|업로드/NNG|하나/NR|이/VCP|요/EFN|?/SF"
"앱 편리성 최악 번역 최악.","앱/NNG|편리성/NNG|최악/NNG|번역/NNG|최악/NNG|./SF"
"설강화 나온거보고 바로 구독취소함.","설/NNG|강화/NNG|나오/VV|ㄴ/ETD|거/NNB|보/VV|고/ECE|바로/MAG|구독/NNG|취소/NNG|하/XSV|ㅁ/ETN|./SF"
"기대보다 더 별로입니다. 무엇보다 설강화 방영은 진짜 실망스럽기짝이 없군요.","기대/NNG|보다/JKM|더/MAG|별로/MAG|일/VV|ㅂ니다/EFN|./SF|무엇/NNG|보다/JKM|설/NNG|강화/NNG|방영/NNG|은/JX|진짜/MAG|실망/NNG|스럽/XSA|기/ETN|짝/NNG|이/JKS|없/VA|군요/EFI|./SF"
"역사왜곡 드라마 내리기전까진 가입안할랍니다.","역사/NNG|왜곡/NNG|드라마/NNG|내리기/NNG|전/NNG|까지/JX|는/JX|가입/NNG|안/MAG|하/XSV|ㄹ/ETD|랍니/UN|이/VCP|다/EFN|./SF"
"어떻게 한 나라의 역사를 왜곡한 드라마를 방영하고 한국에서 장사를 하시려고 하는지요. 한국인의 정서는 하나도 중요 하지 않으신 건지요? 다른 OTT들은 이런 문제가 있는 한나라의 국민의 정서에 상처를 줄 드라마를 틀지도 않습니다.","어떻/VA|게/ECD|한/MDN|나라/NNG|의/JKG|역사/NNG|를/JKO|왜곡/NNG|하/XSV|ㄴ/ETD|드라마/NNG|를/JKO|방영/NNG|하/XSV|고/ECE|한국/NNG|에서/JKM|장사/NNG|를/JKO|하/VV|시/EPH|려고/ECD|하/VX|는지요/ECS|./SF|한국인/NNG|의/JKG|정서/NNG|는/JX|하나/NR|도/JX|중요/NNG|하/VV|지/ECD|안/MAG|으시/EPH|ㄴ/ETD|것/NNB|이/VCP|ㄴ지요/ECS|?/SF|다르/VV|ㄴ/ETD|OTT/OL|듣/VV|은/ETD|이런/MDT|문제/NNG|가/JKS|있/VV|는/ETD|한나라/NNG|의/JKG|국민/NNG|의/JKG|정서/NNG|에/JKM|상처/NNG|를/JKO|주/VV|ㄹ/ETD|드라마/NNG|를/JKO|트/VV|ㄹ지/ECD|도/JX|안/MAG|습니다/EFN|./SF"
"넷플릭스가 왕이었네.","넷플릭스/NNG|가/JKS|왕/NNG|이/VCP|었/EPT|네/EFN|./SF"
"앱이 켜지지가 않아요 두달치나 결제했는데 한번도 보지 못했습니다.","앱/NNG|이/JKS|키/VV|지/ECD|가/VV|아/ECS|안/MAG|아요/EFN|두/MDN|달/NNG|치/VV|나/ECE|결제/NNG|하/XSV|었/EPT|는데/ECD|한번/NNG|도/JX|보/VV|지/ECD|못하/VX|었/EPT|습니다/EFN|./SF"
"디즈니는 공산주의를 옹호하나부지?","디즈니/NNG|는/JX|공산주의/NNG|를/JKO|옹호/NNG|하/XSV|나/ECE|부지/NNG|?/SF"
"1년 구독을 해지함 내 아이가 봐야는데 역사왜곡 나치같은 안기부미화 오리지날 컨텐츠라니 설강화로 킬링컨텐츠 잘 만들었네 셀프킬링 디즈니 바이.","1/NR|년/NNG|구독/NNG|을/JKO|해지/NNG|하/XSV|ㅁ/ETN|내/NP|아이/NNG|가/JKS|보/VV|아야/ECD|는/JX|데/NNB|역사/NNG|왜곡/NNG|나치/NNG|같/VA|은/ETD|안기부/NNG|미화/NNG|오리지날/NNG|컨텐츠/NNG|라니/NNP|설/NNG|강화/NNG|로/JKM|키/VV|ㄹ/ETD|링/NNG|컨텐츠/NNG|잘/MAG|만들/VV|었/EPT|네/EFN|셀프/NNG|키/VV|ㄹ/ETD|링/NNG|디즈니/NNG|바이/MAG|./SF"
"라이온킹 쩌네요.","라이온/NNG|킹/NNG|쩔/VV|네요/EFN|./SF"
"온갖 PC에는 다 예민하면서 아시아 국가의 역사왜곡은 괜찮다? 이말하려고 깔았다가 지움. 투자 철회하지 않는 이상 다시는 깔 일 없을 듯.","온갖/MDT|PC/OL|에/JKM|는/JX|다/MAG|예민/XR|하/XSA|면서/ECE|아시아/NNG|국가/NNG|의/JKG|역사/NNG|왜곡/NNG|은/JX|괜찮/VA|다/EFN|?/SF|이/JKS|말하/VV|려고/ECD|깔/VV|았/EPT|다가/ECD|지우/VV|ㅁ/ETN|./SF|투자/NNG|철회/NNG|하/XSV|지/ECD|안/MAG|는/ETD|이상/NNG|다시/MAG|는/JX|까/VV|ㄹ/ETD|일/NNM|없/VA|을/ETD|듯/NNB|./SF"
"TV 자체 자막 스타일이 나오질 않고 있습니다. 오디오 및 국가별 자막 설정은 나오나 스마트 TV에서 나오는 자막 스타일 설정은 나오질 않아서 수동적으로 바꿨네요. 안드로이드 8.0 버전인데 이 버전에도 자막 스타일 설정을 할수 있도록 업데이트 바랍니다.","TV/OL|자체/NNG|자막/NNG|스타일/NNG|이/JKS|나오/VV|지/ECS|를/JX|안/MAG|고/ECE|있/VXV|습니다/EFN|./SF|오디오/NNG|및/MAG|국가별/NNG|자막/NNG|설정/NNG|은/JX|나오/VV|나/ECE|스마트/NNP|TV/OL|에서/JKM|나오/VV|는/ETD|자막/NNG|스타일/NNG|설정/NNG|은/JX|나오/VV|지/ECS|를/JX|안/MAG|아서/ECD|수동적/NNG|으로/JKM|바꾸/VV|었/EPT|네요/EFN|./SF|안드로이드/NNG|8.0/NR|버전/NNG|이/VCP|ㄴ데/ECE|이/MDT|버전/NNG|에/JKM|도/JX|자막/NNG|스타일/NNG|설정/NNG|을/JKO|하/VV|ㄹ/ETD|수/NNB|있/VV|도록/ECD|업데이트/NNG|바라/VV|ㅂ니다/EFN|./SF"
"젠틀 나치 경찰 젠틀 게슈타포 젠틀 안기부 민주화 희생자 명예훼손 역사왜곡 설강화 독점제공사.","젠/UN|트/VV|ㄹ/ETD|나치/NNG|경찰/NNG|젠/UN|트/VV|ㄹ/ETD|것/NNB|이/JKS|슈/UN|타/NNM|포/NNG|젠/UN|틀/NNG|안기부/NNG|민주화/NNG|희생자/NNG|명예/NNG|훼손/NNG|역사/NNG|왜곡/NNG|설/NNG|강화/NNG|독점/NNG|제공/NNG|사/VV|아/ECS|./SF"
"설강화 지원하는 플랫폼 이용 안 해요.","설/NNG|강화/NNG|지원/NNG|하/XSV|는/ETD|플랫폼/NNG|이용/NNG|안/MAG|하/VV|어요/EFN|./SF"
"1년 구독했는데 구독취소하고 싶습니다. 구글에서는 환불이 안된다는데 어디로 문의해야하나요? 설강화 방영에 항의합니다.","1/NR|년/NNG|구독/NNG|하/XSV|었/EPT|는데/ECD|구독/NNG|취소/NNG|하/XSV|고/ECE|싶/VXA|습니다/EFN|./SF|구글/NNG|에서/JKM|는/JX|환불/NNG|이/JKS|안/MAG|되/VV|ㄴ다는/ETD|데/NNB|어디/NP|로/JKM|문의/NNG|하/XSV|어야/ECD|하/VV|나요/EFQ|?/SF|설/NNG|강화/NNG|방영/NNG|에/JKM|항의/NNG|하/VV|ㅂ니다/EFN|./SF"
"너무 실망이다. 독점컨텐츠 몇개 빼면 들어온 컨텐츠 자체가 얼마없고 번역은 어이가 없을정도로 형편없어서 몰입을 방해한다. 그리고 몇몇실행 오류때문에 고객센터에 문의 하였더니 무슨이야기인지 못알아 먹는 직원들을 보면 무슨 외국인이랑 대화하는 기분이든다.","너무/MAG|실망/NNG|이/VCP|다/EFN|./SF|독점/NNG|컨텐츠/NNG|몇/MDT|개/NNM|빼/VV|면/ECE|들어오/VV|ㄴ/ETD|컨텐츠/NNG|자체/NNG|가/JKS|얼마/NNG|없/VA|고/ECE|번역/NNG|은/JX|어이/NNG|가/JKS|없/VA|을/ETD|정도/NNG|로/JKM|형편없/VA|어서/ECD|몰입/NNG|을/JKO|방해/NNG|하/XSV|ㄴ다/EFN|./SF|그리고/MAG|몇몇/MDT|실행/NNG|오류/NNG|때문/NNB|에/JKM|고객/NNG|센터/NNG|에/JKM|문의/NNG|하/NNB|이/VCP|었/EPT|더니/ECD|무슨/MDT|이야기/NNG|이/VCP|ㄴ지/ECD|못/MAG|알/VV|아/ECD|먹/VV|는/ETD|직원/NNG|들/XSN|을/JKO|보/VV|면/ECE|무슨/MDT|외국인/NNG|이랑/JC|대화/NNG|하/XSV|는/ETD|기분/NNG|이/JKS|들/VV|ㄴ다/EFN|./SF"
"별 한개도 아깝네요. 디즈니 진출비슷한 시기에 넷플이 가격을 올리길래 뭥미 했는데 넷플이 여유부린 이유가 다 있구나. 넷플은 계획이 다 있구나 싶네요. 피드백을 열심히 받고 개선이 없다면 결국에는 철수하지 않을까 싶다는 박리다매로 케이블 디즈니 티브처럼 운영할까? 이렇든 저렇든 다시 넷플로 돌아갑니다. 가격 정책보다 중요한건 역시 가성비임.","별/NNG|한/MDN|개/NNM|도/JX|아깝/VA|네요/EFN|./SF|디즈니/NNG|진출/NNG|비슷/XR|하/XSA|ㄴ/ETD|시기/NNG|에/JKM|넷플릭스/NNG|이/JKS|가격/NNG|을/JKO|오르/VV|길래/ECD|뭥/UN|미/NNG|하/VV|었/EPT|는데/ECD|넷플릭스/NNG|이/JKS|여유/NNG|부리/VV|ㄴ/ETD|이유/NNG|가/JKS|다/MAG|있/VA|구나/EFI|./SF|넷플릭스/NNG|은/JX|계획/NNG|이/JKS|다/MAG|있/VA|구나/EFI|싶/VXA|네요/EFN|./SF|피드백/NNG|을/JKO|열심히/MAG|받/VV|고/ECE|개선/NNG|이/JKS|없/VA|다면/ECE|결국/NNG|에/JKM|는/JX|철수/NNG|하/XSV|지/ECD|안/MAG|을까/EFQ|싶/VXA|다는/ETD|박리/NNG|다매/NNG|로/JKM|케이블/NNG|디즈니/NNG|티브/UN|처럼/JKM|운영/NNG|하/XSV|ㄹ까/EFQ|?/SF|이렇/VV|든/ECE|저렇/VA|든/ECE|다시/MAG|넷플릭스/NNG|로/JKM|돌아가/VV|ㅂ니다/EFN|./SF|가격/NNG|정책/NNG|보다/JKM|중요/NNG|하/XSV|ㄴ/ETD|건/NNG|역시/MAG|가성/NNG|비/XPN|임/NNG|./SF"
"로딩좀 개선해주세요.","로딩/NNG|좀/MAG|개선/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|./SF"
"역사를 왜곡하는 드라마 방영예정.","역사/NNG|를/JKO|왜곡/NNG|하/XSV|는/ETD|드라마/NNG|방영/NNG|예정/NNG|./SF"
"설강화 역사왜곡.","설/NNG|강화/NNG|역사/NNG|왜곡/NNG|./SF"
"최악. 경고문도 못지움.","최악/NNG|./SF|경고문/NNG|도/JX|못/MAG|지우/VV|ㅁ/ETN|./SF"
"지금 설치해서 사용 해보는데 무료 맞나요. 다양하게 시청하고 싶네요. 무료 이면 괜찮을듯 합니다.","지금/NNG|설치/NNG|하/XSV|어서/ECD|사용/NNG|해보/VV|는데/ECD|무료/NNG|맞/VV|나요/EFQ|./SF|다양/NNG|하/XSV|게/ECD|시청/NNG|하/XSV|고/ECE|싶/VXA|네요/EFN|./SF|무료/NNG|이/VCP|면/ECE|괜찮/VA|을/ETD|듯/NNB|하/VV|ㅂ니다/EFN|./SF"
"크롬캐스트3 사용중인데 디즈니 플러스 연결이 한번 끊기면 크롬캐스트를 재부팅 해줘야 전송아이콘 미러링 이 생깁니다. 이거 수정좀 해주세요. 넷플 유튜브 쿠팡플레이 웨이브는 정상작동하니 어플 문제인거 같내요.","크롬/NNG|캐스트/NNG|3/NR|사용중/NNG|이/VCP|ㄴ데/ECE|디즈니플러스/NNG|연결/NNG|이/JKS|한번/MAG|끊기/VV|면/ECE|크롬캐스트/NNG|를/JKO|재/XPN|부팅/NNG|하/VV|어/ECS|주/VXV|어야/ECD|전송/NNG|아이/NNG|콘/NNG|미러/NNG|링/NNG|이/NNG|생기/VV|ㅂ니다/EFN|./SF|이거/NP|수정/NNG|좀/MAG|하/VV|어/ECS|주/VXV|세요/EFN|./SF|넷플릭스/NNG|유튜브/NNG|쿠팡/NNP|플레이/NNG|웨이브/NNG|는/JX|정상/NNG|작동/NNG|하/XSV|니/ECD|앱/NNG|문제/NNG|이/VCP|ㄴ/ETD|거/NNB|같/VA|내요/EFN|./SF"
"개선되어야 할 점 1. 오프닝 엔딩크레딧 건너뛰기 가능하게 하기. 특히 엔딩은 바로 쿠키영상을 볼 수 있도록 2. 엔딩크레딧만 남은 영상은 다 시청한 영상으로 간주하고 시청중인 영상 목록에서 없어지도록 하기 3. 영상 플레이 중에 회차목록 볼 수 있게 하기 4. 그냥 넷플릭스만큼 편하게 사용할 수 있게 만들어주기.","개선/NNG|되/XSV|어야/ECD|하/VV|ㄹ/ETD|점/NNG|1/NR|./SF|오프닝/NNG|엔딩/NNG|크레딧/NNP|건너뛰/VV|기/ETN|가능/NNG|하/XSV|게/ECD|하/VV|기/ETN|./SF|특히/MAG|엔딩/NNG|은/JX|바/NNG|로/JKM|쿠키/NNG|영상/NNG|을/JKO|보/VV|ㄹ/ETD|수/NNB|있/VV|도록/ECD|2/NR|./SF|엔딩/NNG|크레딧/NNP|만/JX|남/NNG|은/JX|영상/NNG|은/JX|다/MAG|시청/NNG|하/XSV|ㄴ/ETD|영상/NNG|으로/JKM|간주/NNG|하/XSV|고/ECE|시청/NNG|중인/NNG|영상/NNG|목록/NNG|에서/JKM|없/VA|어/ECD|지/VXV|도록/ECD|하/VV|기/ETN|3/NR|./SF|영상/NNG|플레이/NNG|중/NNB|에/JKM|회/NNG|차/NNG|목록/NNG|보/VV|ㄹ/ETD|수/NNB|있/VV|게/ECD|하/VV|기/ETN|4/NR|./SF|그냥/MAG|넷플릭스/NNG|만큼/JX|편하/VA|게/ECD|사용/NNG|하/XSV|ㄹ/ETD|수/NNB|있/VV|게/ECD|만들/VV|어/ECD|주기/NNG|./SF"
"컨텐츠 UI 자막 타사대비 최하 특히 역사 왜곡 설강화같은 컨텐츠로는 어려울듯.","컨텐츠/NNG|UI/OL|자막/NNG|타사/NNG|대비/NNG|최하/NNG|특히/MAG|역사/NNG|왜곡/NNG|설/NNG|강화/NNG|같/VA|은/ETD|컨텐츠/NNG|로/JKM|는/JX|어렵/VA|ㄹ/ETD|듯/NNB|./SF"
"정말 돈이 아깝네요 PIN번호 왜 자꾸 틀리다고 나오죠? 한 백번해서 들어가면 재생도 안되고 다운로드는 모뎀도 아닌데 몇날며칠이 걸려도 안되고 뭐죠? 5일째 아무것도 못보고 있네요 웃긴건 5일전 3일 봤는데 그 전에 또5일을 못봤다는거 이거 요금을 3 8으로 하고 3일 보고 5일 못 봅니다 하고 미리 알려주던가.","정말/MAG|돈/NNG|이/JKS|아깝/VA|네요/EFN|PIN/OL|번호/NNG|왜/MAG|자꾸/MAG|틀리/VV|다고/EFN|나오/VV|죠/EFN|?/SF|하/VV|ㄴ/ETD|백/NR|번/NNM|하/VV|어서/ECD|들어가/VV|면/ECE|재생/NNG|도/JX|안/MAG|되/VV|고/ECE|다운로드/NNG|는/JX|모뎀/NNG|도/JX|아니/VCN|ㄴ데/ECE|몇/MDT|날/NNG|며칠/NNG|이/JKS|걸리/VV|어도/ECD|안/MAG|되/VV|고/ECE|무엇/NNG|이/VCP|지요/ECD|?/SF|5/NR|일/NNG|째/XSN|아무것/NP|도/JX|못/MAG|보/VV|고/ECE|있/VXV|네요/EFN|웃기/VV|ㄴ/ETD|건/NNM|5/NR|일/NNM|전/NNG|3/NR|일/NNM|보/VV|았/EPT|는데/ECD|그/MDT|전/NNG|에/JKM|또/MAG|5/NR|일/NNM|을/JKO|못/MAG|보/VV|았/EPT|다는/ETD|거/NNB|이/MDT|거/NNB|요금/NNG|을/JKO|3/NR|8/NR|으로/JKM|하/VV|고/ECE|3/NR|일/NNM|보/VV|고/ECE|5/NR|일/NNM|못/MAG|보/VV|ㅂ니다/EFN|하/VV|고/ECE|미리/MAG|알리/VV|어/ECS|주/VXV|더/EPT|ㄴ가/EFQ|./SF"
"설강화 역사왜곡.","설/NNG|강화/NNG|역사/NNG|왜곡/NNG|./SF"
"한국 컨텐츠 다양화가 설강화는 아닌듯. 한국도 모르고 한국 컨텐츠를 늘리겠다니. 시장조사는 좀 하고오지.","한국/NNG|컨텐츠/NNG|다양화/NNG|가/JKS|설/NNG|강화/NNG|는/JX|아니/VCN|ㄴ/ETD|듯/NNB|./SF|한국/NNG|도/JX|모르/VV|고/ECE|한국/NNG|컨텐츠/NNG|를/JKO|늘리/VV|겠/EPT|다니/EFN|./SF|시장/NNG|조사/NNG|는/JX|좀/MAG|하/VV|고/ECE|오/VV|지/ECD|./SF"
"설강화때문에 별점1개줍니다.","설/NNG|강화/NNG|때문/NNB|에/JKM|별점/NNG|1/NR|개/NNM|주/VV|ㅂ니다/EFN|./SF"
"설강화 SNOWDROP 때문에 정기구독 취소하고 어플 삭제합니다.","설/NNG|강화/NNG|SNOWDROP/OL|때문/NNB|에/JKM|정기/NNG|구독/NNG|취소/NNG|하/XSV|고/ECE|앱/NNG|삭제/NNG|하/XSV|ㅂ니다/EFN|./SF"
"자막 디자인 설정 좀 통일해주세요. 앱마다 일일이 설정을 해줘야 하고 검은색 백그라운드는 왜 되어있는 거죠? 그거 없애도 자막 윤곽선이 안되어있어서 밝은 화면에서는 자막이 보이지도 않아요. 자막 문제 개선될 때까지 이 별점 유지하겠습니다.","자막/NNG|디자인/NNG|설정/NNG|좀/MAG|통일/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|./SF|앱/NNG|마다/JX|일일이/MAG|설정/NNG|을/JKO|하/VV|어/ECS|주/VXV|어야/ECD|하/VV|고/ECE|검정색/NNG|백/NNG|그라운드/NNG|는/JX|왜/MAG|되/VV|어/ECD|있/VXV|는/ETD|것/NNB|이/VCP|죠/EFN|?/SF|그거/NP|없애도/UN|자막/NNG|윤곽선/NNG|이/JKS|안/MAG|되/VV|어/ECD|있/VXV|어서/ECD|밝/VA|은/ETD|화면/NNG|에서/JKM|는/JX|자막/NNG|이/JKS|보/VV|지/ECD|도/JX|안/MAG|아요/EFN|./SF|자막/NNG|문제/NNG|개선/NNG|되/XSV|ㄹ/ETD|때/NNG|까지/JX|이/MDT|별점/NNG|유지/NNG|하/XSV|겠/EPT|습니다/EFN|./SF"
"설강화때문에 환불하고 싶은데 환불이 안되네요.","설/NNG|강화/NNG|때문/NNB|에/JKM|환불/NNG|하/XSV|고/ECE|싶/VXA|은데/ECD|환불/NNG|이/JKS|안/MAG|되/VV|네요/EFN|./SF"
"설강화 지원 OTT.","설/NNG|강화/NNG|지원/NNG|OTT/OL|./SF"
"한국에 대해 전혀 파악안하고 들어온듯.","한국/NNG|에/JKM|대하/VV|어/ECS|전혀/MAG|파악/NNG|안/MAG|하/XSV|고/ECE|들어오/VV|ㄴ/ETD|듯/NNB|./SF"
